Borough,Employment rate,Crime rate,Median house price,Avg. Council tax,Green space,Number cars,Public transport score,GCSEs 
Barking and Dagenham,0.08,0.83,1.00,0.36,0.53,0.64,0.11,0.15
Barnet,0.59,0.94,0.79,0.28,0.67,0.06,0.11,0.63
Bexley,0.58,1.00,0.94,0.25,0.49,0.30,0.01,0.40
Brent,0.23,0.86,0.79,0.32,0.31,0.43,0.24,0.26
Bromley,0.88,0.94,0.86,0.37,0.97,0.00,0.05,0.73
Camden,0.16,0.60,0.51,0.36,0.37,0.70,0.61,0.16
Croydon,0.64,0.86,0.93,0.21,0.59,0.09,0.15,0.33
Ealing,0.29,0.87,0.82,0.32,0.48,0.27,0.17,0.18
Enfield,0.26,0.89,0.91,0.28,0.75,0.23,0.10,0.28
Greenwich,0.11,0.87,0.89,0.40,0.54,0.50,0.17,0.37
Hackney,0.11,0.73,0.76,0.38,0.34,0.74,0.46,0.19
Hammersmith and Fulham,0.62,0.70,0.51,0.64,0.26,0.72,0.43,0.42
Haringey,0.39,0.82,0.80,0.20,0.38,0.61,0.33,0.29
Harrow,0.41,1.00,0.82,0.17,0.55,0.35,0.07,0.37
Havering,0.68,0.93,0.94,0.18,1.00,0.24,0.01,0.30
Hillingdon,0.51,0.91,0.89,0.27,0.81,0.21,0.00,0.21
Hounslow,0.78,0.87,0.88,0.30,0.64,0.39,0.12,0.43
Islington,0.38,0.66,0.65,0.42,0.14,0.76,0.60,0.29
Kensington and Chelsea,0.11,0.65,0.00,0.60,0.19,0.72,0.65,1.00
Kingston upon Thames,0.84,0.97,0.81,0.00,0.58,0.55,0.08,0.63
Lambeth,0.92,0.71,0.79,0.45,0.23,0.57,0.49,0.39
Lewisham,0.67,0.85,0.90,0.32,0.32,0.51,0.28,0.06
Merton,0.78,0.96,0.82,0.27,0.55,0.53,0.18,0.25
Newham,0.00,0.78,0.94,0.43,0.35,0.61,0.28,0.07
Redbridge,0.31,0.90,0.88,0.28,0.66,0.31,0.11,0.57
Richmond upon Thames,0.94,0.97,0.63,0.09,0.84,0.45,0.11,0.49
Southwark,0.25,0.71,0.79,0.47,0.37,0.61,0.44,0.36
Sutton,1.00,0.98,0.91,0.24,0.50,0.41,0.06,0.86
Tower Hamlets,0.16,0.74,0.83,0.49,0.19,0.72,0.44,0.34
Waltham Forest,0.47,0.83,0.90,0.23,0.49,0.51,0.21,0.00
Wandsworth,0.81,0.89,0.65,0.99,0.41,0.42,0.34,0.20
Westminster,0.38,0.00,0.31,1.00,0.61,0.69,0.74,0.55